#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU2132	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2133	GS|100.0|BOLD:AAH1890_KR808351;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2134	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Chordata	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2135	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2136	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Amphibia,o:Anura
OTU2137	US|1.0000|BOLD:ACL5660_KR466526;k:Animalia,p:Chordata,c:Mammalia,o:Chiroptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sciaridae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Chordata,c:Mammalia,o:Chiroptera
OTU2138	GS|99.0|BOLD:AAI6841_MG168447;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2139	GS|100.0|BOLD:ACB9399_KT703370;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2140	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Charadriiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Aves,o:Charadriiformes
OTU2141	US|1.0000|BOLD:ACW8090_MG411289;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Laelapidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2142	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia	k:Animalia,p:Chordata,c:Amphibia,o:Anura
OTU2143	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Clupeiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Actinopterygii,o:Clupeiformes
OTU2144	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Myctophiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Actinopterygii,o:Myctophiformes
OTU2145	US|1.0000|None;k:Animalia,p:Arthropoda,c:Hexanauplia,o:Cyclopoida	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Hexanauplia,o:Cyclopoida
OTU2146	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Piciformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Aves,o:Piciformes
OTU2147	US|1.0000|BOLD:ABU6452_JX571432;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Erebidae,g:Illice	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2148	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2149	GS|98.8|BOLD:AAA4717_JQ662772;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Baetidae,g:Baetis,s:Baetis tricaudatus	k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Baetidae,g:Baetis,s:Baetis tricaudatus	k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Baetidae,g:Baetis,s:Baetis tricaudatus	k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera
OTU2150	US|1.0000|None;k:Animalia,p:Chordata,c:Reptilia,o:Squamata	No hit	k:Animalia	k:Animalia,p:Chordata,c:Reptilia,o:Squamata
OTU2151	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2152	GS|100.0|BOLD:ACE2915_KM530174;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Leptoceridae,g:Oecetis,s:Oecetis inconspicua	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Leptoceridae,g:Oecetis,s:Oecetis inconspicua	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Leptoceridae,g:Oecetis,s:Oecetis inconspicua	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera
OTU2153	US|1.0000|BOLD:ACR4505_KR437348;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2154	US|1.0000|BOLD:ACU4766_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2155	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Charadriiformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Aves,o:Charadriiformes
OTU2156	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Archaeognatha	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Archaeognatha
OTU2157	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Albuliformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Actinopterygii,o:Albuliformes
OTU2158	GS|99.7|BOLD:ACE6563_KR274325;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Ablabesmyia,s:Ablabesmyia illinoensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Ablabesmyia,s:Ablabesmyia illinoensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Ablabesmyia,s:Ablabesmyia illinoensis	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2159	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2160	US|1.0000|BOLD:ACY7328_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2161	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Araneae	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Arachnida,o:Araneae
OTU2162	GS|97.3|BOLD:AAH1621_KR406413;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2163	GS|97.5|BOLD:ACM3718_KR287320;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2164	US|1.0000|None;k:Animalia,p:Arthropoda,c:Malacostraca,o:Amphipoda	No hit	k:Animalia,p:Chordata	k:Animalia,p:Arthropoda,c:Malacostraca,o:Amphipoda
OTU2165	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2166	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2167	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera
OTU2168	US|1.0000|BOLD:ACL4128_MG118006;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Agromyzidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2169	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata
OTU2170	US|1.0000|BOLD:ACU5073_MH416555;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Depressariidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2171	US|1.0000|BOLD:ACV5529_KT707123;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes,f:Scutacaridae	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2172	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Scombriformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Actinopterygii,o:Scombriformes
OTU2173	US|1.0000|BOLD:AAF9785_HM374204;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2174	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera
OTU2175	GS|100.0|BOLD:ABX4123_KR148670;k:Animalia,p:Arthropoda,c:Insecta,o:Psocodea,f:Peripsocidae,g:Peripsocus,s:Peripsocus madidus	k:Animalia,p:Arthropoda,c:Insecta,o:Psocodea,f:Peripsocidae,g:Peripsocus,s:Peripsocus madidus	k:Animalia,p:Arthropoda,c:Insecta,o:Psocodea,f:Peripsocidae,g:Peripsocus,s:Peripsocus madidus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2176	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2177	GS|100.0|BOLD:AAG6743_KR525624;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sarcophagidae,g:Sarcophaga,s:Sarcophaga subvicina	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sarcophagidae,g:Sarcophaga,s:Sarcophaga subvicina	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sarcophagidae,g:Sarcophaga,s:Sarcophaga subvicina	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
