#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU2121	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2122	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2123	US|1.0000|BOLD:AAU4910_KR984973;k:Animalia,p:Arthropoda,c:Malacostraca,o:Amphipoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Trichonta	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Malacostraca,o:Amphipoda
OTU2124	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia	k:Animalia,p:Chordata,c:Amphibia,o:Anura
OTU2125	US|1.0000|BOLD:ABV2236_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2126	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2127	SS|0.9600|BOLD:AAJ2126_FJ582048;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena robertsonii	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena robertsonii	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Andrenidae,g:Andrena,s:Andrena robertsonii	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2128	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2129	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2130	GS|100.0|BOLD:ADL8378_KR794068;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Promethes,s:Promethes sulcator	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Promethes,s:Promethes sulcator	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Promethes,s:Promethes sulcator	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2131	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2132	US|1.0000|BOLD:AAG3734_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2133	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2134	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2135	GS|100.0|BOLD:AAH1890_KR808351;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae,g:Stibeutes	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2136	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	No hit	k:Animalia,p:Chordata	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2137	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2138	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Amphibia,o:Anura
OTU2139	US|1.0000|BOLD:ACL5660_KR466526;k:Animalia,p:Chordata,c:Mammalia,o:Chiroptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sciaridae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Chordata,c:Mammalia,o:Chiroptera
OTU2140	GS|99.0|BOLD:AAI6841_MG168447;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Stratiomyidae,g:Caloparyphus,s:Caloparyphus tetraspilus	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2141	GS|100.0|BOLD:ACB9399_KT703370;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Parachironomus	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2142	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Charadriiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Aves,o:Charadriiformes
OTU2143	US|1.0000|BOLD:ACW8090_MG411289;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata,f:Laelapidae	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
