"","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","sampleID","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat"
"71","278172153","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","127","1","SY",20,28.1,113,NA,"","P19N046","","Unit_2_127_2019","Color_Stress","Pred_Con",60,5,"Died",12,"Color_Stress_Pred_Con"
"72","278172154","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","75","1","SY",20,28.1,116,NA,"","P19N047","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul"
"73","278172403","2019","Adult","F","29-May-19","TRES","Ithaca","Turkey_Hill","121","1","ASY",21.5,28.4,114,NA,"","P19N056","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control"
"74","281128402","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","20","2","SY",19.5,NA,NA,NA,"","P19N052","","Unit_2_20_2019","Color_Stress","Cont_Con",47,4,"Fledged",11.75,"Color_Stress_Cont_Con"
"75","232146953","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_1","360","1","ASY",22.5,28.7,114,NA,"","P19N057","","Unit_1_360_2019","","Control",NA,NA,"Fledged",NA,"Control"
"76","235120680","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_4","93","1","ASY",24,27.7,116,NA,"","P19N066","ibutton: C4621, egg photo","Unit_4_93_2019","Light","Light",55.3,4,"Fledged",13.825,"Light_Light"
"77","272106661","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_1","302","1","ASY",20,28.3,114,NA,"","P19N058","","Unit_1_302_2019","","Control",NA,NA,"Fledged",NA,"Control"
"78","272106817","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","22","1","ASY",22.5,27.7,117,NA,"","P19N063","","Unit_2_22_2019","Color_Stress","Cont_Con",NA,NA,"Died",NA,"Color_Stress_Cont_Con"
"79","272106905","2019","Adult","F","30-May-19","TRES","Ithaca","Liddell","39","2","ASY",NA,NA,NA,NA,"","","Light File Name: 530","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"80","272106913","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","120","2","ASY",21,NA,NA,NA,"","","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"81","272107018","2019","Adult","F","30-May-19","TRES","Ithaca","Liddell","41","2","ASY",NA,NA,NA,NA,"","","Light file name: 530","Liddell_41_2019","Light","Light",27.13,4,"Fledged",6.7825,"Light_Light"
"82","272107803","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_4","87","1","ASY",23,28.2,115,NA,"","P19N065","ibutton, egg photo","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light"
"83","278171872","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","3","1","SY",20,26.5,114,NA,"","P19N062","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul"
"84","278171873","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","82","1","SY",18.5,27.7,107,NA,"","P19N060","","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con"
"85","278171875","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","117","1","SY",21.5,27.8,116.5,NA,"","P19N059","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul"
"86","278171896","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","78","1","SY",20.25,29.3,120,NA,"","P19N061","","Unit_2_78_2019","Color_Stress","Cont_Con",29,3,"Fledged",9.66666666666667,"Color_Stress_Cont_Con"
"87","278172155","2019","Adult","F","30-May-19","TRES","Ithaca","Unit_2","15","1","SY",21,28.4,115,NA,"","P19N064","Band on left foot, RFID on right foot (placed loosely because right foot had pox). Double check on second capture.","Unit_2_15_2019","Color_Stress","Pred_Con",52,4,"Died",13,"Color_Stress_Pred_Con"
"88","259122557","2019","Adult","M","31-May-19","TRES","Ithaca","Unit_2","111","2","AHY",21,28.7,121,NA,"","P19N074","Bolus: Yes","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"89","272107217","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","116","2","ASY",23,NA,NA,NA,"","","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con"
"90","272107436","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","301","1","SY",22,27.8,113,NA,"","P19N067","","Unit_1_301_2019","","Control",NA,NA,"Fledged",NA,"Control"
"91","272107450","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","86","1","SY",23.25,27.2,119,NA,"","P19N078","","Turkey_Hill_86_2019","Light","Light_Control",61.21,5,"Predation",12.242,"Light_Light_Control"
"92","272107699","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","430","1","ASY",21.5,29.2,116,NA,"","P19N070","","Unit_1_430_2019","","Control",NA,NA,"Fledged",NA,"Control"
"93","272107739","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","111","3","ASY",17.5,26.6,110,NA,"","P19N073","Injection time represents ACTH injection","Unit_2_111_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"94","272107842","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","55","1","ASY",23,28.2,114,NA,"","P19N081","","Turkey_Hill_55_2019","Light","Light",NA,NA,"Died",NA,"Light_Light"
"95","272107855","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","62","1","SY",20,27.6,114,NA,"","P19N076","","Unit_2_62_2019","Color_Stress","Cont_Con",48,4,"Fledged",12,"Color_Stress_Cont_Con"
"96","278172156","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","70","1","SY",21,28.3,115,NA,"","P19N077","","Unit_2_70_2019","Color_Stress","Pred_Con",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Con"
"97","278172157","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_2","6","1","SY",23,28.7,116,NA,"","P19N075","","Unit_2_6_2019","Color_Stress","Pred_Con",NA,NA,"Predation",NA,"Color_Stress_Pred_Con"
"98","278172228","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","370","1","SY",22.75,28,115,NA,"","P19N068","","Unit_1_370_2019","","Control",NA,NA,"Fledged",NA,"Control"
"99","278172229","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","393","1","SY",20.5,28.9,115,NA,"","P19N069","","Unit_1_393_2019","","Control",NA,NA,"Fledged",NA,"Control"
"100","278172230","2019","Adult","F","31-May-19","TRES","Ithaca","Unit_1","321","1","SY",22.75,28.7,117,NA,"","P19N071","","Unit_1_321_2019","","Control",NA,NA,"Died",NA,"Control"
"101","278172404","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","51","1","SY",22,29.1,114,NA,"","P19N080","","Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control"
"102","278172405","2019","Adult","F","31-May-19","TRES","Ithaca","Turkey_Hill","134","1","SY",22.5,27.5,115,NA,"","P19N079","","Turkey_Hill_134_2019","Light","Light",25.87,3,"Died",8.62333333333333,"Light_Light"
"103","272106708","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_1","357","1","ASY",24,28.6,115,NA,"","P19N086","","Unit_1_357_2019","","Control",NA,NA,"Fledged",NA,"Control"
"104","278172158","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_2","105","1","SY",19.5,28.3,111,NA,"","P19N082","","Unit_2_105_2019","Color_Stress","Pred_Dul",48,5,"Fledged",9.6,"Color_Stress_Pred_Dul"
"105","278172231","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_1","34","1","SY",21.5,28.8,113,NA,"","P19N084","","Unit_1_34_2019","Color_Stress","Cont_Con",NA,NA,"Died",NA,"Color_Stress_Cont_Con"
"106","278172406","2019","Adult","F","01-Jun-19","TRES","Ithaca","Unit_4","18","1","SY",23.5,27.2,115,NA,"","P19N088","Toe fell off in bag due to Pox","Unit_4_18_2019","Light","Light",38,5,"Fledged",7.6,"Light_Light"
